destination,variant,routeCode,startTime,endTime,transitDay,transitDayNumber,vehicle Id,,,,,,,
Katraj To Shivajinagar,UP,2,17:20:00,18:05:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,17:30:00,18:15:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,17:35:00,18:20:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,17:55:00,18:40:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,18:10:00,18:55:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,18:20:00,19:05:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,18:30:00,19:15:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,18:35:00,19:20:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,18:45:00,19:30:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,18:55:00,19:40:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,19:05:00,19:50:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,19:20:00,20:05:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,19:45:00,20:30:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,20:15:00,21:00:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,20:20:00,21:05:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,20:25:00,21:10:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,20:35:00,21:20:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,20:45:00,21:30:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,20:50:00,21:35:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,20:55:00,21:40:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,21:00:00,21:45:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,21:10:00,21:55:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,21:20:00,22:05:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,21:30:00,22:15:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,21:40:00,22:25:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,21:55:00,22:40:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,22:10:00,22:55:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,22:30:00,23:15:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,22:45:00,23:30:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,23:05:00,23:50:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,23:25:00,00:10:00,Normal,1234567,,,,,,,,
Katraj To Shivajinagar,UP,2,23:30:00,00:15:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,00:10:00,00:50:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,01:20:00,02:00:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,02:45:00,03:25:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,04:20:00,05:00:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,05:20:00,06:00:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,06:10:00,06:55:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,06:35:00,07:20:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,06:50:00,07:35:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,07:00:00,07:45:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,07:15:00,08:00:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,07:35:00,08:20:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,07:44:00,08:29:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,07:45:00,08:30:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,07:50:00,08:35:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,08:05:00,08:50:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,08:15:00,09:00:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,08:30:00,09:15:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,08:35:00,09:20:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,09:00:00,09:45:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,09:10:00,09:55:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,09:20:00,10:05:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,09:40:00,10:25:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,09:45:00,10:30:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,10:00:00,10:45:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,10:05:00,10:50:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,10:25:00,11:10:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,10:45:00,11:30:00,Normal,1234567,,,,,,,,
