SrNo,routeId,tripId,startTime,EndTime,Duration
123,2-D,2-D-23,09:45:00,10:30:00,45
124,2-D,2-D-24,10:00:00,10:45:00,45
125,2-D,2-D-25,10:05:00,10:50:00,45
126,2-D,2-D-26,10:25:00,11:10:00,45
127,2-D,2-D-27,10:45:00,11:30:00,45
128,2-D,2-D-28,10:50:00,11:35:00,45
129,2-D,2-D-29,11:05:00,11:50:00,45
130,2-D,2-D-30,11:10:00,11:55:00,45
131,2-D,2-D-31,11:30:00,12:15:00,45
132,2-D,2-D-32,11:44:00,12:29:00,45
133,2-D,2-D-33,12:00:00,12:45:00,45
134,2-D,2-D-34,12:10:00,12:55:00,45
135,2-D,2-D-35,12:40:00,13:25:00,45
136,2-D,2-D-36,12:45:00,13:30:00,45
137,2-D,2-D-37,12:55:00,13:40:00,45
138,2-D,2-D-38,13:00:00,13:45:00,45
139,2-D,2-D-39,13:05:00,13:50:00,45
140,2-D,2-D-40,13:10:00,13:55:00,45
141,2-D,2-D-41,13:15:00,14:00:00,45
142,2-D,2-D-42,13:20:00,14:05:00,45
143,2-D,2-D-43,13:25:00,14:10:00,45
144,2-D,2-D-44,13:40:00,14:25:00,45
145,2-D,2-D-45,13:45:00,14:30:00,45
146,2-D,2-D-46,13:50:00,14:35:00,45
147,2-D,2-D-47,14:05:00,14:50:00,45
148,2-D,2-D-48,14:20:00,15:05:00,45
149,2-D,2-D-49,14:35:00,15:20:00,45
150,2-D,2-D-50,14:45:00,15:30:00,45
151,2-D,2-D-51,14:45:00,15:30:00,45
152,2-D,2-D-52,14:50:00,15:35:00,45
153,2-D,2-D-53,15:00:00,15:45:00,45
154,2-D,2-D-54,15:15:00,16:00:00,45
155,2-D,2-D-55,15:20:00,16:05:00,45
156,2-D,2-D-56,15:35:00,16:20:00,45
157,2-D,2-D-57,15:45:00,16:30:00,45
158,2-D,2-D-58,15:50:00,16:35:00,45
159,2-D,2-D-59,16:10:00,16:55:00,45
160,2-D,2-D-60,16:25:00,17:10:00,45
161,2-D,2-D-61,16:45:00,17:30:00,45
162,2-D,2-D-62,17:05:00,17:50:00,45
163,2-D,2-D-63,17:15:00,18:00:00,45
164,2-D,2-D-64,17:25:00,18:10:00,45
165,2-D,2-D-65,17:40:00,18:25:00,45
166,2-D,2-D-66,17:45:00,18:30:00,45
167,2-D,2-D-67,17:55:00,18:40:00,45
168,2-D,2-D-68,18:05:00,18:50:00,45
169,2-D,2-D-69,18:15:00,19:00:00,45
170,2-D,2-D-70,18:25:00,19:10:00,45
171,2-D,2-D-71,18:30:00,19:15:00,45
172,2-D,2-D-72,18:50:00,19:35:00,45
173,2-D,2-D-73,18:55:00,19:40:00,45
174,2-D,2-D-74,19:00:00,19:45:00,45
175,2-D,2-D-75,19:10:00,19:55:00,45
176,2-D,2-D-76,19:15:00,20:00:00,45
177,2-D,2-D-77,19:20:00,20:05:00,45
178,2-D,2-D-78,19:25:00,20:10:00,45
179,2-D,2-D-79,19:30:00,20:15:00,45
180,2-D,2-D-80,19:35:00,20:20:00,45
181,2-D,2-D-81,19:40:00,20:25:00,45
182,2-D,2-D-82,19:50:00,20:35:00,45
183,2-D,2-D-83,20:05:00,20:50:00,45
184,2-D,2-D-84,20:15:00,21:00:00,45
185,2-D,2-D-85,20:20:00,21:05:00,45
186,2-D,2-D-86,20:40:00,21:25:00,45
187,2-D,2-D-87,21:05:00,21:50:00,45
188,2-D,2-D-88,21:10:00,21:55:00,45
189,2-D,2-D-89,21:15:00,22:00:00,45
190,2-D,2-D-90,21:25:00,22:10:00,45
191,2-D,2-D-91,21:35:00,22:20:00,45
192,2-D,2-D-92,21:40:00,22:25:00,45
193,2-D,2-D-93,21:45:00,22:30:00,45
194,2-D,2-D-94,21:50:00,22:35:00,45
195,2-D,2-D-95,22:00:00,22:45:00,45
196,2-D,2-D-96,22:00:00,22:45:00,45
197,2-D,2-D-97,22:15:00,23:00:00,45
198,2-D,2-D-98,22:25:00,23:10:00,45
199,2-D,2-D-99,22:30:00,23:15:00,45
200,2-D,2-D-100,22:40:00,23:25:00,45
201,2-D,2-D-101,22:45:00,23:30:00,45
202,2-D,2-D-102,22:55:00,23:40:00,45
203,2-D,2-D-103,23:05:00,23:50:00,45
204,2-D,2-D-104,23:15:00,00:00:00,45
205,2-D,2-D-105,23:35:00,00:20:00,45
206,2-D,2-D-106,23:55:00,00:40:00,45
207,3-U,3-U-1,06:00:00,06:40:00,40
208,3-U,3-U-2,07:50:00,08:30:00,40
209,3-U,3-U-3,09:10:00,09:55:00,45
210,3-U,3-U-4,10:40:00,11:25:00,45
211,3-U,3-U-5,12:10:00,12:55:00,45
212,3-U,3-U-6,14:30:00,15:10:00,40
213,3-U,3-U-7,15:50:00,16:30:00,40
214,3-U,3-U-8,17:15:00,18:00:00,45
215,3-U,3-U-9,18:45:00,19:30:00,45
216,3-U,3-U-10,20:45:00,21:25:00,40
217,3-D,3-D-1,06:40:00,07:20:00,40
218,3-D,3-D-2,08:30:00,09:10:00,40
219,3-D,3-D-3,09:55:00,10:35:00,40
220,3-D,3-D-4,11:25:00,12:05:00,40
221,3-D,3-D-5,12:55:00,13:35:00,40
222,3-D,3-D-6,15:10:00,15:50:00,40
223,3-D,3-D-7,16:30:00,17:10:00,40
224,3-D,3-D-8,18:00:00,18:40:00,40
225,3-D,3-D-9,19:30:00,20:10:00,40
226,3-D,3-D-10,21:25:00,22:05:00,40
227,5-U,5-U-1,05:55:00,06:20:00,25
228,5-U,5-U-2,06:05:00,06:30:00,25
229,5-U,5-U-3,06:15:00,06:40:00,25
230,5-U,5-U-4,06:20:00,06:45:00,25
231,5-U,5-U-5,06:30:00,06:55:00,25
232,5-U,5-U-6,06:40:00,07:05:00,25
233,5-U,5-U-7,06:45:00,07:10:00,25
234,5-U,5-U-8,06:50:00,07:15:00,25
235,5-U,5-U-9,06:55:00,07:20:00,25
236,5-U,5-U-10,07:00:00,07:25:00,25
237,5-U,5-U-11,07:05:00,07:30:00,25
238,5-U,5-U-12,07:10:00,07:35:00,25
239,5-U,5-U-13,07:15:00,07:40:00,25
240,5-U,5-U-14,07:20:00,07:45:00,25
241,5-U,5-U-15,07:25:00,07:50:00,25
242,5-U,5-U-16,07:30:00,07:55:00,25
243,5-U,5-U-17,07:35:00,08:00:00,25
244,5-U,5-U-18,07:40:00,08:05:00,25
245,5-U,5-U-19,07:45:00,08:10:00,25
246,5-U,5-U-20,07:50:00,08:15:00,25
247,5-U,5-U-21,07:55:00,08:20:00,25
248,5-U,5-U-22,08:00:00,08:25:00,25
249,5-U,5-U-23,08:05:00,08:30:00,25
250,5-U,5-U-24,08:10:00,08:35:00,25
251,5-U,5-U-25,08:15:00,08:40:00,25
252,5-U,5-U-26,08:20:00,08:45:00,25
253,5-U,5-U-27,08:25:00,08:50:00,25
254,5-U,5-U-28,08:30:00,08:55:00,25
255,5-U,5-U-29,08:35:00,09:00:00,25
256,5-U,5-U-30,08:40:00,09:05:00,25
257,5-U,5-U-31,08:45:00,09:10:00,25
258,5-U,5-U-32,08:50:00,09:15:00,25
259,5-U,5-U-33,08:55:00,09:20:00,25
260,5-U,5-U-34,09:00:00,09:25:00,25
261,5-U,5-U-35,09:05:00,09:30:00,25
262,5-U,5-U-36,09:10:00,09:35:00,25
263,5-U,5-U-37,09:15:00,09:40:00,25
264,5-U,5-U-38,09:20:00,09:45:00,25
265,5-U,5-U-39,09:25:00,09:50:00,25
266,5-U,5-U-40,09:30:00,09:55:00,25
267,5-U,5-U-41,09:35:00,10:00:00,25
268,5-U,5-U-42,09:40:00,10:05:00,25
269,5-U,5-U-43,09:45:00,10:10:00,25
270,5-U,5-U-44,09:50:00,10:15:00,25
271,5-U,5-U-45,09:55:00,10:20:00,25
272,5-U,5-U-46,10:00:00,10:25:00,25
273,5-U,5-U-47,10:05:00,10:30:00,25
274,5-U,5-U-48,10:10:00,10:35:00,25
275,5-U,5-U-49,10:15:00,10:40:00,25
276,5-U,5-U-50,10:20:00,10:45:00,25
277,5-U,5-U-51,10:25:00,10:50:00,25
278,5-U,5-U-52,10:30:00,10:55:00,25
279,5-U,5-U-53,10:40:00,11:05:00,25
280,5-U,5-U-54,10:50:00,11:15:00,25
281,5-U,5-U-55,11:05:00,11:30:00,25
282,5-U,5-U-56,11:15:00,11:40:00,25
283,5-U,5-U-57,11:25:00,11:50:00,25
284,5-U,5-U-58,11:30:00,11:55:00,25
285,5-U,5-U-59,11:35:00,12:00:00,25
